S1,S2,S3,S4,S5,S6,A1,A2,A3,A4,A5,A6,X,Y
0.0,7.999999999999999e-05,7.5e-05,5.099999999999999e-05,6.9e-05,0.00030999999999999995,-0.14313314000000005,-0.099627835,0.25550954800000003,-0.07726662000000001,-0.14317456300000003,-0.181530424,0,0
0.0,-0.000156,-8.600000000000003e-05,4.6000000000000034e-05,-4.500000000000012e-05,0.0002539999999999999,-0.17467741000000003,-0.31403701000000006,0.19302731800000003,-0.09923086000000003,0.114536435,-0.14260815599999999,0,0
0.0,-0.00014900000000000004,-9.000000000000002e-05,4.9e-05,-4.199999999999994e-05,0.000258,-0.20210721000000004,-0.31818686500000004,0.17914237800000002,-0.10746745000000002,0.117307521,-0.135657751,0,0
0.0,-0.00015000000000000007,-9.100000000000004e-05,4.7999999999999866e-05,-4.9e-05,0.0002589999999999999,-0.19524976000000005,-0.29328773500000005,0.173588402,-0.11844957000000003,0.11176534900000001,-0.139827994,0,0
0.0,-0.00014199999999999998,-8.299999999999996e-05,5.3000000000000096e-05,-3.600000000000001e-05,0.00026500000000000004,-0.18976380000000004,-0.29328773500000005,0.16803442600000001,-0.11158574500000001,0.110379806,-0.138437913,0,0
0.0,-0.00014400000000000003,-8.400000000000009e-05,5.199999999999996e-05,-4.0000000000000105e-05,0.000258,-0.18976380000000004,-0.31403701000000006,0.186084848,-0.11707680500000003,0.114536435,-0.13426767,0,0
0.0,-0.0001479999999999999,-8.299999999999996e-05,4.3999999999999985e-05,-4.3999999999999985e-05,0.000255,-0.18290635000000005,-0.296054305,0.19719280000000003,-0.09923086000000003,0.100681005,-0.14260815599999999,0,0
0.0,-0.00015300000000000003,-8.700000000000005e-05,4.699999999999995e-05,-4.300000000000007e-05,0.000255,-0.18427784000000003,-0.27945488500000004,0.16109195600000004,-0.11982233500000003,0.10760872,-0.13287758900000002,0,0
0.0,-0.000161,-8.800000000000008e-05,4.299999999999985e-05,-4.9e-05,0.00024299999999999994,-0.21445062000000004,-0.29743759000000003,0.14304153400000003,-0.12668616000000002,0.117307521,-0.12036685999999999,0,0
0.0,-0.00015000000000000007,-9.8e-05,4.3999999999999985e-05,-4.699999999999995e-05,0.0002490000000000001,-0.18016337000000004,-0.28913788,0.16942292000000003,-0.09099427000000002,0.09790991900000001,-0.125927184,0,0
0.0,-0.00015300000000000014,-8.600000000000014e-05,5.299999999999988e-05,-4.800000000000008e-05,0.00025599999999999993,-0.18290635000000005,-0.28775459500000006,0.173588402,-0.11982233500000003,0.10899426300000001,-0.131487508,0,0
0.0,-0.00014899999999999994,-5.199999999999996e-05,3.899999999999997e-05,-3.999999999999989e-05,0.00025600000000000015,-0.19799274000000006,-0.28775459500000006,0.14304153400000003,-0.09648533000000004,0.114536435,-0.125927184,0,0
0.0,-0.00015000000000000007,-9.100000000000004e-05,5.100000000000005e-05,-4.300000000000007e-05,0.0002459999999999999,-0.20622168000000002,-0.29467102,0.16525743800000003,-0.10884021500000002,0.10899426300000001,-0.121756941,0,0
0.0,-0.00015099999999999998,-8.599999999999992e-05,5.000000000000013e-05,-3.600000000000001e-05,0.00025100000000000014,-0.20759317000000005,-0.29743759000000003,0.16386894400000002,-0.11570404000000004,0.110379806,-0.11897677899999999,0,0
0.0,-0.00014800000000000002,-8.700000000000005e-05,4.9999999999999914e-05,-4.300000000000007e-05,6.400000000000004e-05,-0.20896466000000002,-0.28775459500000006,0.16386894400000002,-0.12805892500000002,0.113150892,0.075634561,0,0
0.0,-0.00029200000000000005,-0.00035900000000000005,-0.000349,-0.0003690000000000001,0.000214,-0.1486191,-0.135593245,0.3888049720000001,-0.16375081500000002,-0.10576490200000001,-0.128707346,0,60
0.0,-0.000339,-0.0004199999999999999,-0.000419,-0.0004689999999999999,-0.00014599999999999997,0.10373505999999999,-0.15357595000000002,0.40268991200000004,-0.16786911000000004,-0.10437935900000002,-0.07866443,0,60
0.0,-0.000348,-0.00042599999999999995,-0.0004149999999999999,-0.00047099999999999996,-0.00014099999999999996,0.12842188,-0.14527624,0.39435894800000004,-0.17336017000000004,-0.11269261700000001,-0.075884268,0,60
0.0,-0.00034599999999999995,-0.0004149999999999999,-0.00040799999999999994,-0.00045299999999999995,-0.0001389999999999999,0.10510654999999999,-0.14389295500000002,0.4054669000000001,-0.16237805000000002,-0.10992153100000003,-0.07866443,0,60
0.0,-9.499999999999992e-05,-0.00016299999999999995,-9.499999999999992e-05,-0.000205,0.00041,0.08041973,-0.16049237500000002,0.4207403340000001,0.16708555000000003,-0.10715044500000002,-0.14538831800000002,0,60
0.0,-0.000348,-0.0004239999999999999,-0.00041799999999999997,-0.000464,-0.00013299999999999998,0.13253635,-0.146659525,0.3971359360000001,-0.17473293500000003,-0.10715044500000002,-0.070323944,0,60
0.0,-0.00035800000000000003,-0.00043000000000000004,-0.0004180000000000001,-0.00046600000000000005,-0.00013299999999999998,0.12293591999999999,-0.132826675,0.3804740080000001,-0.18296952500000002,-0.10576490200000001,-0.07727434899999999,0,60
